                TABLE OF MODE A AND MODE C ENCODER DATA                                    
                                                          
													
													
													
ALTITUDE  A1   A2   A4   B1   B2   B4   C1   C2   C4   D1   D2   D4   SQUAWK
24300     1    0    1    0    1    0    1    0    0    0    0    0    5210
24400     1    0    1    0    1    0    1    1    0    0    0    0    5230
24500     1    0    1    0    1    0    0    1    0    0    0    0    5220
24600     1    0    1    0    1    0    0    1    1    0    0    0    5260
24700     1    0    1    0    1    0    0    0    1    0    0    0    5240
24800     1    0    1    1    1    0    0    0    1    0    0    0    5340
24900     1    0    1    1    1    0    0    1    1    0    0    0    5360
25000     1    0    1    1    1    0    0    1    0    0    0    0    5320
25100     1    0    1    1    1    0    1    1    0    0    0    0    5330
25200     1    0    1    1    1    0    1    0    0    0    0    0    5310
25300     1    0    1    1    1    1    1    0    0    0    0    0    5710
25400     1    0    1    1    1    1    1    1    0    0    0    0    5730
25500     1    0    1    1    1    1    0    1    0    0    0    0    5720
25600     1    0    1    1    1    1    0    1    1    0    0    0    5760
25700     1    0    1    1    1    1    0    0    1    0    0    0    5740
25800     1    0    1    1    0    1    0    0    1    0    0    0    5540
25900     1    0    1    1    0    1    0    1    1    0    0    0    5560
26000     1    0    1    1    0    1    0    1    0    0    0    0    5520
26100     1    0    1    1    0    1    1    1    0    0    0    0    5530
26200     1    0    1    1    0    1    1    0    0    0    0    0    5510
26300     1    0    1    1    0    0    1    0    0    0    0    0    5110
26400     1    0    1    1    0    0    1    1    0    0    0    0    5130
26500     1    0    1    1    0    0    0    1    0    0    0    0    5120
26600     1    0    1    1    0    0    0    1    1    0    0    0    5160
26700     1    0    1    1    0    0    0    0    1    0    0    0    5140
26800     1    0    0    1    0    0    0    0    1    0    0    0    1140
26900     1    0    0    1    0    0    0    1    1    0    0    0    1160
27000     1    0    0    1    0    0    0    1    0    0    0    0    1120
27100     1    0    0    1    0    0    1    1    0    0    0    0    1130
27200     1    0    0    1    0    0    1    0    0    0    0    0    1110
27300     1    0    0    1    0    1    1    0    0    0    0    0    1510
27400     1    0    0    1    0    1    1    1    0    0    0    0    1530
27500     1    0    0    1    0    1    0    1    0    0    0    0    1520
27600     1    0    0    1    0    1    0    1    1    0    0    0    1560
27700     1    0    0    1    0    1    0    0    1    0    0    0    1540
27800     1    0    0    1    1    1    0    0    1    0    0    0    1740
27900     1    0    0    1    1    1    0    1    1    0    0    0    1760
28000     1    0    0    1    1    1    0    1    0    0    0    0    1720
28100     1    0    0    1    1    1    1    1    0    0    0    0    1730
28200     1    0    0    1    1    1    1    0    0    0    0    0    1710
28300     1    0    0    1    1    0    1    0    0    0    0    0    1310
28400     1    0    0    1    1    0    1    1    0    0    0    0    1330
28500     1    0    0    1    1    0    0    1    0    0    0    0    1320
28600     1    0    0    1    1    0    0    1    1    0    0    0    1360
28700     1    0    0    1    1    0    0    0    1    0    0    0    1340
28800     1    0    0    0    1    0    0    0    1    0    0    0    1240
28900     1    0    0    0    1    0    0    1    1    0    0    0    1260
29000     1    0    0    0    1    0    0    1    0    0    0    0    1220
29100     1    0    0    0    1    0    1    1    0    0    0    0    1230
29200     1    0    0    0    1    0    1    0    0    0    0    0    1210
29300     1    0    0    0    1    1    1    0    0    0    0    0    1610
29400     1    0    0    0    1    1    1    1    0    0    0    0    1630
29500     1    0    0    0    1    1    0    1    0    0    0    0    1620
29600     1    0    0    0    1    1    0    1    1    0    0    0    1660
29700     1    0    0    0    1    1    0    0    1    0    0    0    1640
29800     1    0    0    0    0    1    0    0    1    0    0    0    1440
29900     1    0    0    0    0    1    0    1    1    0    0    0    1460
30000     1    0    0    0    0    1    0    1    0    0    0    0    1420
30100     1    0    0    0    0    1    1    1    0    0    0    0    1430
30200     1    0    0    0    0    1    1    0    0    0    0    0    1410
30300     1    0    0    0    0    0    1    0    0    0    0    0    1010
30400     1    0    0    0    0    0    1    1    0    0    0    0    1030
30500     1    0    0    0    0    0    0    1    0    0    0    0    1020
30600     1    0    0    0    0    0    0    1    1    0    0    0    1060
30700     1    0    0    0    0    0    0    0    1    0    0    0    1040
30800     1    0    0    0    0    0    0    0    1    0    0    1    1044
30900     1    0    0    0    0    0    0    1    1    0    0    1    1064
31000     1    0    0    0    0    0    0    1    0    0    0    1    1024
31100     1    0    0    0    0    0    1    1    0    0    0    1    1034
31200     1    0    0    0    0    0    1    0    0    0    0    1    1014
31300     1    0    0    0    0    1    1    0    0    0    0    1    1414
31400     1    0    0    0    0    1    1    1    0    0    0    1    1434
31500     1    0    0    0    0    1    0    1    0    0    0    1    1424
31600     1    0    0    0    0    1    0    1    1    0    0    1    1464
31700     1    0    0    0    0    1    0    0    1    0    0    1    1444
31800     1    0    0    0    1    1    0    0    1    0    0    1    1644
31900     1    0    0    0    1    1    0    1    1    0    0    1    1664
32000     1    0    0    0    1    1    0    1    0    0    0    1    1624
32100     1    0    0    0    1    1    1    1    0    0    0    1    1634
32200     1    0    0    0    1    1    1    0    0    0    0    1    1614
32300     1    0    0    0    1    0    1    0    0    0    0    1    1214
32400     1    0    0    0    1    0    1    1    0    0    0    1    1234
32500     1    0    0    0    1    0    0    1    0    0    0    1    1224
32600     1    0    0    0    1    0    0    1    1    0    0    1    1264
32700     1    0    0    0    1    0    0    0    1    0    0    1    1244
32800     1    0    0    1    1    0    0    0    1    0    0    1    1344
32900     1    0    0    1    1    0    0    1    1    0    0    1    1364
33000     1    0    0    1    1    0    0    1    0    0    0    1    1324
33100     1    0    0    1    1    0    1    1    0    0    0    1    1334
33200     1    0    0    1    1    0    1    0    0    0    0    1    1314
33300     1    0    0    1    1    1    1    0    0    0    0    1    1714
33400     1    0    0    1    1    1    1    1    0    0    0    1    1734
33500     1    0    0    1    1    1    0    1    0    0    0    1    1724
33600     1    0    0    1    1    1    0    1    1    0    0    1    1764
33700     1    0    0    1    1    1    0    0    1    0    0    1    1744
33800     1    0    0    1    0    1    0    0    1    0    0    1    1544
33900     1    0    0    1    0    1    0    1    1    0    0    1    1564
34000     1    0    0    1    0    1    0    1    0    0    0    1    1524
34100     1    0    0    1    0    1    1    1    0    0    0    1    1534
34200     1    0    0    1    0    1    1    0    0    0    0    1    1514
34300     1    0    0    1    0    0    1    0    0    0    0    1    1114
34400     1    0    0    1    0    0    1    1    0    0    0    1    1134
34500     1    0    0    1    0    0    0    1    0    0    0    1    1124
34600     1    0    0    1    0    0    0    1    1    0    0    1    1164
34700     1    0    0    1    0    0    0    0    1    0    0    1    1144
34800     1    0    1    1    0    0    0    0    1    0    0    1    5144
34900     1    0    1    1    0    0    0    1    1    0    0    1    5164
35000     1    0    1    1    0    0    0    1    0    0    0    1    5124
35100     1    0    1    1    0    0    1    1    0    0    0    1    5134
35200     1    0    1    1    0    0    1    0    0    0    0    1    5114
35300     1    0    1    1    0    1    1    0    0    0    0    1    5514
35400     1    0    1    1    0    1    1    1    0    0    0    1    5534
35500     1    0    1    1    0    1    0    1    0    0    0    1    5524
35600     1    0    1    1    0    1    0    1    1    0    0    1    5564
35700     1    0    1    1    0    1    0    0    1    0    0    1    5544
35800     1    0    1    1    1    1    0    0    1    0    0    1    5744
35900     1    0    1    1    1    1    0    1    1    0    0    1    5764
36000     1    0    1    1    1    1    0    1    0    0    0    1    5724
36100     1    0    1    1    1    1    1    1    0    0    0    1    5734
36200     1    0    1    1    1    1    1    0    0    0    0    1    5714
36300     1    0    1    1    1    0    1    0    0    0    0    1    5314
36400     1    0    1    1    1    0    1    1    0    0    0    1    5334
36500     1    0    1    1    1    0    0    1    0    0    0    1    5324
36600     1    0    1    1    1    0    0    1    1    0    0    1    5364
36700     1    0    1    1    1    0    0    0    1    0    0    1    5344
36800     1    0    1    0    1    0    0    0    1    0    0    1    5244
36900     1    0    1    0    1    0    0    1    1    0    0    1    5264
37000     1    0    1    0    1    0    0    1    0    0    0    1    5224
37100     1    0    1    0    1    0    1    1    0    0    0    1    5234
37200     1    0    1    0    1    0    1    0    0    0    0    1    5214
37300     1    0    1    0    1    1    1    0    0    0    0    1    5614
37400     1    0    1    0    1    1    1    1    0    0    0    1    5634
37500     1    0    1    0    1    1    0    1    0    0    0    1    5624
37600     1    0    1    0    1    1    0    1    1    0    0    1    5664
37700     1    0    1    0    1    1    0    0    1    0    0    1    5644
37800     1    0    1    0    0    1    0    0    1    0    0    1    5444
37900     1    0    1    0    0    1    0    1    1    0    0    1    5464
38000     1    0    1    0    0    1    0    1    0    0    0    1    5424
38100     1    0    1    0    0    1    1    1    0    0    0    1    5434
38200     1    0    1    0    0    1    1    0    0    0    0    1    5414
38300     1    0    1    0    0    0    1    0    0    0    0    1    5014
38400     1    0    1    0    0    0    1    1    0    0    0    1    5034
38500     1    0    1    0    0    0    0    1    0    0    0    1    5024
38600     1    0    1    0    0    0    0    1    1    0    0    1    5064
38700     1    0    1    0    0    0    0    0    1    0    0    1    5044
38800     1    1    1    0    0    0    0    0    1    0    0    1    7044
38900     1    1    1    0    0    0    0    1    1    0    0    1    7064
39000     1    1    1    0    0    0    0    1    0    0    0    1    7024
39100     1    1    1    0    0    0    1    1    0    0    0    1    7034
39200     1    1    1    0    0    0    1    0    0    0    0    1    7014
39300     1    1    1    0    0    1    1    0    0    0    0    1    7414
39400     1    1    1    0    0    1    1    1    0    0    0    1    7434
39500     1    1    1    0    0    1    0    1    0    0    0    1    7424
39600     1    1    1    0    0    1    0    1    1    0    0    1    7464
39700     1    1    1    0    0    1    0    0    1    0    0    1    7444
39800     1    1    1    0    1    1    0    0    1    0    0    1    7644
39900     1    1    1    0    1    1    0    1    1    0    0    1    7664
40000     1    1    1    0    1    1    0    1    0    0    0    1    7624
40100     1    1    1    0    1    1    1    1    0    0    0    1    7634
40200     1    1    1    0    1    1    1    0    0    0    0    1    7614
40300     1    1    1    0    1    0    1    0    0    0    0    1    7214
40400     1    1    1    0    1    0    1    1    0    0    0    1    7234
40500     1    1    1    0    1    0    0    1    0    0    0    1    7224
40600     1    1    1    0    1    0    0    1    1    0    0    1    7264
40700     1    1    1    0    1    0    0    0    1    0    0    1    7244
40800     1    1    1    1    1    0    0    0    1    0    0    1    7344
40900     1    1    1    1    1    0    0    1    1    0    0    1    7364
41000     1    1    1    1    1    0    0    1    0    0    0    1    7324
41100     1    1    1    1    1    0    1    1    0    0    0    1    7334
41200     1    1    1    1    1    0    1    0    0    0    0    1    7314
41300     1    1    1    1    1    1    1    0    0    0    0    1    7714
41400     1    1    1    1    1    1    1    1    0    0    0    1    7734
41500     1    1    1    1    1    1    0    1    0    0    0    1    7724
41600     1    1    1    1    1    1    0    1    1    0    0    1    7764
41700     1    1    1    1    1    1    0    0    1    0    0    1    7744
41800     1    1    1    1    0    1    0    0    1    0    0    1    7544
41900     1    1    1    1    0    1    0    1    1    0    0    1    7564
42000     1    1    1    1    0    1    0    1    0    0    0    1    7524
42100     1    1    1    1    0    1    1    1    0    0    0    1    7534
42200     1    1    1    1    0    1    1    0    0    0    0    1    7514
42300     1    1    1    1    0    0    1    0    0    0    0    1    7114
42400     1    1    1    1    0    0    1    1    0    0    0    1    7134
42500     1    1    1    1    0    0    0    1    0    0    0    1    7124
42600     1    1    1    1    0    0    0    1    1    0    0    1    7164
42700     1    1    1    1    0    0    0    0    1    0    0    1    7144
42800     1    1    0    1    0    0    0    0    1    0    0    1    3144
42900     1    1    0    1    0    0    0    1    1    0    0    1    3164
43000     1    1    0    1    0    0    0    1    0    0    0    1    3124
43100     1    1    0    1    0    0    1    1    0    0    0    1    3134
43200     1    1    0    1    0    0    1    0    0    0    0    1    3114
43300     1    1    0    1    0    1    1    0    0    0    0    1    3514
43400     1    1    0    1    0    1    1    1    0    0    0    1    3534
43500     1    1    0    1    0    1    0    1    0    0    0    1    3524
43600     1    1    0    1    0    1    0    1    1    0    0    1    3564
43700     1    1    0    1    0    1    0    0    1    0    0    1    3544
43800     1    1    0    1    1    1    0    0    1    0    0    1    3744
43900     1    1    0    1    1    1    0    1    1    0    0    1    3764
44000     1    1    0    1    1    1    0    1    0    0    0    1    3724
44100     1    1    0    1    1    1    1    1    0    0    0    1    3734
44200     1    1    0    1    1    1    1    0    0    0    0    1    3714
44300     1    1    0    1    1    0    1    0    0    0    0    1    3314
44400     1    1    0    1    1    0    1    1    0    0    0    1    3334
44500     1    1    0    1    1    0    0    1    0    0    0    1    3324
44600     1    1    0    1    1    0    0    1    1    0    0    1    3364
44700     1    1    0    1    1    0    0    0    1    0    0    1    3344
